id,idx
08220,218
08221,219
08222,220
08223,221
08224,222
08225,223
08226,224
08227,225
08228,226
08229,227
08230,228
08231,229
08232,230
08233,231
08234,232
08235,233
08236,234
08237,235
08238,236
08239,237
08240,238
08241,239
08242,240
08243,241
08244,242
08245,243
08246,244
08247,245
08248,246
08249,247
08250,248
08251,249
08252,250
08253,251
08254,252
08255,253
08256,254
08257,255
08258,256
08259,257
08260,258
08261,259
08262,260
08263,261
08264,262
08265,263
08266,264
08267,265
08268,266
08269,267
08270,268
08271,269
08272,270
08273,271
08274,272
08275,273
08276,274
08277,275
08278,276
08279,277
08280,278
08281,279
08282,280
08283,281
08284,282
08285,283
08286,284
08287,285
08288,286
08289,287
08290,288
08291,289
08292,290
08293,291
08294,292
08295,293
08296,294
08297,295
08298,296
08299,297
08300,298
08301,299
08302,300
08303,301
08304,302
08305,303
08306,304
08307,305
08308,306
08901,307
08902,308
08903,309
08904,310
08905,311
17001,312
17002,313
17003,314
17004,315
17005,316
17006,317
17007,318
17008,319
17009,320
17010,321
17011,322
17012,323
17013,324
17014,325
17015,326
17016,327
17018,328
17019,329
17020,330
17021,331
17022,332
17023,333
17024,334
17025,335
17026,336
17027,337
17028,338
17029,339
17030,340
17031,341
17032,342
17033,343
17034,344
17035,345
17036,346
17037,347
17038,348
17039,349
17040,350
17041,351
17042,352
17043,353
17044,354
17046,355
17047,356
17048,357
17049,358
17050,359
17051,360
17052,361
17054,362
17055,363
17056,364
17057,365
17058,366
17060,367
17061,368
17062,369
17063,370
17064,371
17065,372
17066,373
17067,374
17068,375
17069,376
17070,377
17071,378
17073,379
17074,380
17075,381
17076,382
17077,383
17078,384
17079,385
17080,386
17081,387
17082,388
17083,389
17084,390
17085,391
17086,392
17087,393
17088,394
17089,395
17090,396
17091,397
17092,398
17093,399
17094,400
17095,401
17096,402
17097,403
17098,404
17099,405
17100,406
17101,407
17102,408
17103,409
17105,410
17106,411
17107,412
17109,413
17110,414
17111,415
17112,416
17114,417
17115,418
17116,419
17117,420
17118,421
17119,422
17120,423
17121,424
17123,425
17124,426
17125,427
17126,428
17128,429
17129,430
17130,431
17132,432
17133,433
17134,434
17135,435
17136,436
17137,437
17138,438
17139,439
17140,440
17141,441
17142,442
17143,443
17144,444
17145,445
17146,446
17147,447
17148,448
17149,449
17150,450
17151,451
17152,452
17153,453
17154,454
17155,455
17157,456
17158,457
17159,458
17160,459
17161,460
17162,461
17163,462
17164,463
17165,464
17166,465
17167,466
17168,467
17169,468
17170,469
17171,470
17172,471
17173,472
17174,473
17175,474
17176,475
17177,476
17178,477
17180,478
17181,479
17182,480
17183,481
17184,482
17185,483
17186,484
17187,485
17188,486
17189,487
17190,488
17191,489
17192,490
17193,491
17194,492
17195,493
17196,494
17197,495
17198,496
17199,497
17200,498
17201,499
17202,500
17203,501
17204,502
17205,503
17206,504
17207,505
17208,506
17209,507
17210,508
17211,509
17212,510
17213,511
17214,512
17215,513
17216,514
17217,515
17218,516
17220,517
17221,518
17222,519
17223,520
17224,521
17225,522
17226,523
17227,524
17228,525
17230,526
17232,527
17233,528
17234,529
17901,530
17902,531
17903,532
25001,533
25002,534
25003,535
25004,536
25005,537
25006,538
25007,539
25008,540
25009,541
25010,542
25011,543
25012,544
25013,545
25014,546
25015,547
25016,548
25019,549
25020,550
25021,551
25022,552
25023,553
25024,554
25025,555
25027,556
25029,557
25030,558
25031,559
25032,560
25033,561
25034,562
25035,563
25036,564
25037,565
25038,566
25039,567
25040,568
25041,569
25042,570
25043,571
25044,572
25045,573
25046,574
25047,575
25048,576
25049,577
25050,578
25051,579
25052,580
25053,581
25055,582
25056,583
25057,584
25058,585
25059,586
25060,587
25061,588
25062,589
25063,590
25064,591
25067,592
25068,593
25069,594
25070,595
25071,596
25072,597
25073,598
25074,599
25075,600
25076,601
25077,602
25078,603
25079,604
25081,605
25082,606
25085,607
25086,608
25087,609
25088,610
25089,611
25092,612
25093,613
25094,614
25096,615
25097,616
25098,617
25099,618
25100,619
25101,620
25102,621
25103,622
25104,623
25105,624
25109,625
25110,626
25111,627
25112,628
25113,629
25114,630
25115,631
25118,632
25119,633
25120,634
25121,635
25122,636
25124,637
25125,638
25126,639
25127,640
25128,641
25129,642
25130,643
25131,644
25132,645
25133,646
25134,647
25135,648
25136,649
25137,650
25138,651
25139,652
25140,653
25141,654
25142,655
25143,656
25145,657
25146,658
25148,659
25149,660
25150,661
25151,662
25152,663
25153,664
25154,665
25155,666
25156,667
25157,668
25158,669
25161,670
25163,671
25164,672
25165,673
25166,674
25167,675
25168,676
25169,677
25170,678
25171,679
25172,680
25173,681
25174,682
25175,683
25176,684
25177,685
25179,686
25180,687
