name,id,idx,Y,M,O
08263,08263,261,0.43,1.9,0.72
08264,08264,262,0.12,0.44,0.72
08265,08265,263,0.12,0.16,0.72
08266,08266,264,0.78,3.76,1.24
08267,08267,265,0.17,0.63,0.72
08268,08268,266,0.12,0.16,0.72
08269,08269,267,0.12,0.25,0.72
08270,08270,268,0.44,2.17,0.72
08271,08271,269,0.12,0.16,0.72
08272,08272,270,0.12,0.16,0.72
08273,08273,271,0.12,0.21,0.72
08274,08274,272,0.12,0.38,0.72
08275,08275,273,0.12,0.16,0.72
08276,08276,274,0.12,0.16,0.72
08277,08277,275,0.12,0.16,0.72
08278,08278,276,0.12,0.43,0.72
08279,08279,277,3.71,15.05,4.07
08280,08280,278,0.12,0.16,0.72
08281,08281,279,0.12,0.42,0.72
08282,08282,280,0.16,0.61,0.72
08283,08283,281,0.13,0.56,0.72
08284,08284,282,0.3,1.24,0.72
08285,08285,283,0.24,0.97,0.72
08286,08286,284,0.12,0.28,0.72
08287,08287,285,0.12,0.16,0.72
08288,08288,286,0.12,0.18,0.72
08289,08289,287,0.12,0.42,0.72
08290,08290,288,0.12,0.16,0.72
08291,08291,289,0.13,0.53,0.72
08292,08292,290,0.12,0.16,0.72
08293,08293,291,0.12,0.16,0.72
08294,08294,292,0.12,0.22,0.72
08295,08295,293,0.25,1.06,0.72
08296,08296,294,0.12,0.19,0.72
08297,08297,295,0.12,0.16,0.72
08298,08298,296,0.85,3.28,0.8
08299,08299,297,0.12,0.16,0.72
08300,08300,298,0.12,0.51,0.72
08301,08301,299,1.04,4.47,1.21
08302,08302,300,0.21,0.84,0.72
08303,08303,301,0.12,0.16,0.72
08304,08304,302,0.12,0.16,0.72
08305,08305,303,0.69,2.68,0.79
08306,08306,304,0.12,0.16,0.72
08307,08307,305,0.99,4.57,1.47
08308,08308,306,0.12,0.16,0.72
08901,08901,307,0.12,0.16,0.72
08902,08902,308,0.12,0.39,0.72
08903,08903,309,0.12,0.16,0.72
08904,08904,310,0.18,0.84,0.72
08905,08905,311,0.12,0.2,0.72
17001,17001,312,0.12,0.16,0.72
17002,17002,313,0.12,0.16,0.72
17003,17003,314,0.12,0.16,0.72
17004,17004,315,0.12,0.16,0.72
17005,17005,316,0.12,0.16,0.72
17006,17006,317,0.12,0.16,0.72
17007,17007,318,0.12,0.16,0.72
17008,17008,319,0.12,0.38,0.72
17009,17009,320,0.12,0.42,0.72
17010,17010,321,0.12,0.16,0.72
17011,17011,322,0.12,0.16,0.72
17012,17012,323,0.12,0.16,0.72
17013,17013,324,0.12,0.27,0.72
17014,17014,325,0.12,0.16,0.72
17015,17015,326,0.36,1.32,0.72
17016,17016,327,0.12,0.16,0.72
17018,17018,328,0.12,0.16,0.72
17019,17019,329,0.12,0.16,0.72
17020,17020,330,0.12,0.34,0.72
17021,17021,331,0.12,0.16,0.72
17022,17022,332,0.21,0.75,0.72
17023,17023,333,0.58,2.77,0.84
17024,17024,334,0.12,0.16,0.72
17025,17025,335,0.12,0.16,0.72
17026,17026,336,0.12,0.16,0.72
17027,17027,337,0.12,0.25,0.72
17028,17028,338,0.12,0.16,0.72
17029,17029,339,0.12,0.16,0.72
17030,17030,340,0.12,0.16,0.72
17031,17031,341,0.12,0.16,0.72
17032,17032,342,0.12,0.2,0.72
17033,17033,343,0.14,0.55,0.72
17034,17034,344,0.17,0.79,0.72
17035,17035,345,0.12,0.16,0.72
17036,17036,346,0.12,0.2,0.72
17037,17037,347,0.12,0.16,0.72
17038,17038,348,0.12,0.16,0.72
17039,17039,349,0.12,0.16,0.72
17040,17040,350,0.12,0.16,0.72
17041,17041,351,0.12,0.16,0.72
17042,17042,352,0.12,0.16,0.72
17043,17043,353,0.12,0.16,0.72
17044,17044,354,0.19,0.71,0.72
17046,17046,355,0.12,0.16,0.72
17047,17047,356,0.19,0.81,0.72
17048,17048,357,0.19,0.84,0.72
17049,17049,358,0.12,0.37,0.72
17050,17050,359,0.12,0.16,0.72
17051,17051,360,0.12,0.16,0.72
17052,17052,361,0.12,0.16,0.72
17054,17054,362,0.12,0.16,0.72
17055,17055,363,0.12,0.16,0.72
17056,17056,364,0.12,0.16,0.72
17057,17057,365,0.12,0.16,0.72
17058,17058,366,0.12,0.16,0.72
17060,17060,367,0.12,0.16,0.72
17061,17061,368,0.12,0.16,0.72
17062,17062,369,0.15,0.67,0.72
17063,17063,370,0.12,0.16,0.72
17064,17064,371,0.12,0.16,0.72
17065,17065,372,0.12,0.16,0.72
17066,17066,373,0.87,3.2,0.8
17067,17067,374,0.12,0.16,0.72
17068,17068,375,0.12,0.16,0.72
17069,17069,376,0.12,0.16,0.72
17070,17070,377,0.12,0.16,0.72
17071,17071,378,0.12,0.16,0.72
17073,17073,379,0.12,0.18,0.72
17074,17074,380,0.12,0.16,0.72
17075,17075,381,0.12,0.16,0.72
17076,17076,382,0.12,0.16,0.72
17077,17077,383,0.12,0.16,0.72
17078,17078,384,0.12,0.16,0.72
17079,17079,385,1.69,7.16,1.8
17080,17080,386,0.12,0.16,0.72
17081,17081,387,0.12,0.16,0.72
17082,17082,388,0.12,0.16,0.72
17083,17083,389,0.12,0.29,0.72
17084,17084,390,0.12,0.16,0.72
17085,17085,391,0.12,0.16,0.72
17086,17086,392,0.12,0.22,0.72
17087,17087,393,0.12,0.16,0.72
17088,17088,394,0.12,0.16,0.72
17089,17089,395,0.17,0.62,0.72
17090,17090,396,0.12,0.16,0.72
17091,17091,397,0.12,0.16,0.72
17092,17092,398,0.12,0.32,0.72
17093,17093,399,0.12,0.16,0.72
17094,17094,400,0.12,0.16,0.72
17095,17095,401,0.67,2.85,0.72
17096,17096,402,0.12,0.16,0.72
17097,17097,403,0.12,0.16,0.72
17098,17098,404,0.12,0.16,0.72
17099,17099,405,0.12,0.16,0.72
17100,17100,406,0.12,0.16,0.72
17101,17101,407,0.12,0.16,0.72
17102,17102,408,0.12,0.16,0.72
17103,17103,409,0.12,0.53,0.72
17105,17105,410,0.12,0.16,0.72
17106,17106,411,0.12,0.16,0.72
17107,17107,412,0.12,0.16,0.72
17109,17109,413,0.12,0.16,0.72
17110,17110,414,0.12,0.16,0.72
17111,17111,415,0.12,0.16,0.72
17112,17112,416,0.12,0.16,0.72
17114,17114,417,0.58,2.54,0.76
17115,17115,418,0.12,0.16,0.72
17116,17116,419,0.12,0.16,0.72
17117,17117,420,0.41,1.56,0.72
17118,17118,421,0.25,1.21,0.72
17119,17119,422,0.12,0.16,0.72
17120,17120,423,0.12,0.16,0.72
17121,17121,424,0.12,0.16,0.72
17123,17123,425,0.12,0.16,0.72
17124,17124,426,0.12,0.16,0.72
17125,17125,427,0.12,0.16,0.72
17126,17126,428,0.12,0.16,0.72
17128,17128,429,0.12,0.16,0.72
17129,17129,430,0.12,0.16,0.72
17130,17130,431,0.12,0.16,0.72
17132,17132,432,0.12,0.16,0.72
17133,17133,433,0.12,0.16,0.72
17134,17134,434,0.12,0.16,0.72
17135,17135,435,0.12,0.16,0.72
17136,17136,436,0.12,0.16,0.72
17137,17137,437,0.12,0.31,0.72
17138,17138,438,0.12,0.16,0.72
17139,17139,439,0.12,0.16,0.72
17140,17140,440,0.12,0.16,0.72
17141,17141,441,0.15,0.69,0.72
17142,17142,442,0.12,0.26,0.72
17143,17143,443,0.12,0.16,0.72
17144,17144,444,0.12,0.16,0.72
17145,17145,445,0.12,0.16,0.72
17146,17146,446,0.12,0.31,0.72
17147,17147,447,0.15,0.66,0.72
17148,17148,448,0.12,0.16,0.72
17149,17149,449,0.12,0.16,0.72
17150,17150,450,0.12,0.16,0.72
17151,17151,451,0.12,0.16,0.72
17152,17152,452,0.31,1.33,0.72
17153,17153,453,0.12,0.16,0.72
17154,17154,454,0.12,0.16,0.72
17155,17155,455,0.71,2.25,0.72
17157,17157,456,0.12,0.16,0.72
17158,17158,457,0.12,0.16,0.72
17159,17159,458,0.12,0.16,0.72
17160,17160,459,0.35,1.46,0.72
17161,17161,460,0.12,0.16,0.72
17162,17162,461,0.12,0.16,0.72
17163,17163,462,0.12,0.27,0.72
17164,17164,463,0.12,0.37,0.72
17165,17165,464,0.12,0.16,0.72
17166,17166,465,0.12,0.16,0.72
17167,17167,466,0.12,0.19,0.72
17168,17168,467,0.12,0.16,0.72
17169,17169,468,0.12,0.24,0.72
17170,17170,469,0.12,0.16,0.72
17171,17171,470,0.12,0.16,0.72
17172,17172,471,0.12,0.16,0.72
17173,17173,472,0.12,0.16,0.72
17174,17174,473,0.12,0.16,0.72
17175,17175,474,0.12,0.16,0.72
17176,17176,475,0.12,0.16,0.72
17177,17177,476,0.12,0.16,0.72
17178,17178,477,0.12,0.16,0.72
17180,17180,478,0.24,0.9,0.72
17181,17181,479,0.12,0.38,0.72
17182,17182,480,0.12,0.16,0.72
17183,17183,481,0.12,0.16,0.72
17184,17184,482,0.12,0.16,0.72
17185,17185,483,0.12,0.19,0.72
17186,17186,484,0.12,0.35,0.72
17187,17187,485,0.12,0.16,0.72
17188,17188,486,0.12,0.16,0.72
17189,17189,487,0.12,0.16,0.72
17190,17190,488,0.12,0.16,0.72
17191,17191,489,0.12,0.16,0.72
17192,17192,490,0.12,0.16,0.72
17193,17193,491,0.12,0.44,0.72
17194,17194,492,0.12,0.16,0.72
17195,17195,493,0.12,0.16,0.72
17196,17196,494,0.12,0.16,0.72
17197,17197,495,0.12,0.16,0.72
17198,17198,496,0.12,0.16,0.72
17199,17199,497,0.19,0.81,0.72
17200,17200,498,0.12,0.16,0.72
17201,17201,499,0.12,0.16,0.72
17202,17202,500,0.12,0.42,0.72
17203,17203,501,0.12,0.16,0.72
17204,17204,502,0.12,0.16,0.72
17205,17205,503,0.12,0.16,0.72
17206,17206,504,0.12,0.16,0.72
17207,17207,505,0.12,0.2,0.72
17208,17208,506,0.12,0.16,0.72
17209,17209,507,0.12,0.16,0.72
17210,17210,508,0.12,0.16,0.72
17211,17211,509,0.12,0.16,0.72
17212,17212,510,0.12,0.16,0.72
17213,17213,511,0.13,0.58,0.72
17214,17214,512,0.12,0.16,0.72
17215,17215,513,0.12,0.24,0.72
17216,17216,514,0.12,0.16,0.72
17217,17217,515,0.12,0.16,0.72
17218,17218,516,0.12,0.16,0.72
17220,17220,517,0.12,0.16,0.72
17221,17221,518,0.12,0.36,0.72
17222,17222,519,0.12,0.16,0.72
17223,17223,520,0.12,0.16,0.72
17224,17224,521,0.12,0.16,0.72
17225,17225,522,0.12,0.16,0.72
17226,17226,523,0.12,0.16,0.72
17227,17227,524,0.12,0.16,0.72
17228,17228,525,0.12,0.16,0.72
17230,17230,526,0.12,0.16,0.72
17232,17232,527,0.12,0.16,0.72
17233,17233,528,0.12,0.21,0.72
17234,17234,529,0.12,0.16,0.72
17901,17901,530,0.12,0.16,0.72
17902,17902,531,0.12,0.16,0.72
17903,17903,532,0.12,0.16,0.72
25001,25001,533,0.12,0.16,0.72
25002,25002,534,0.12,0.16,0.72
25003,25003,535,0.12,0.36,0.72
25004,25004,536,0.12,0.16,0.72
25005,25005,537,0.12,0.16,0.72
25006,25006,538,0.12,0.16,0.72
25007,25007,539,0.12,0.16,0.72
25008,25008,540,0.12,0.16,0.72
25009,25009,541,0.12,0.16,0.72
25010,25010,542,0.12,0.16,0.72
25011,25011,543,0.19,0.7,0.72
25012,25012,544,0.12,0.24,0.72
25013,25013,545,0.12,0.17,0.72
25014,25014,546,0.12,0.16,0.72
25015,25015,547,0.12,0.16,0.72
25016,25016,548,0.12,0.19,0.72
25019,25019,549,0.12,0.46,0.72
25020,25020,550,0.12,0.16,0.72
25021,25021,551,0.12,0.21,0.72
25022,25022,552,0.12,0.16,0.72
25023,25023,553,0.12,0.43,0.72
25024,25024,554,0.12,0.16,0.72
25025,25025,555,0.12,0.16,0.72
25027,25027,556,0.12,0.16,0.72
25029,25029,557,0.12,0.16,0.72
25030,25030,558,0.12,0.16,0.72
25031,25031,559,0.12,0.16,0.72
25032,25032,560,0.12,0.16,0.72
25033,25033,561,0.12,0.16,0.72
25034,25034,562,0.12,0.23,0.72
25035,25035,563,0.12,0.16,0.72
25036,25036,564,0.12,0.16,0.72
25037,25037,565,0.12,0.16,0.72
25038,25038,566,0.12,0.16,0.72
25039,25039,567,0.12,0.16,0.72
25040,25040,568,0.3,1.14,0.72
25041,25041,569,0.12,0.16,0.72
25042,25042,570,0.12,0.16,0.72
25043,25043,571,0.12,0.16,0.72
25044,25044,572,0.12,0.16,0.72
25045,25045,573,0.12,0.16,0.72
25046,25046,574,0.12,0.16,0.72
25047,25047,575,0.12,0.16,0.72
25048,25048,576,0.12,0.16,0.72
25049,25049,577,0.12,0.16,0.72
25050,25050,578,0.12,0.35,0.72
25051,25051,579,0.12,0.16,0.72
25052,25052,580,0.12,0.16,0.72
25053,25053,581,0.12,0.16,0.72
25055,25055,582,0.12,0.16,0.72
25056,25056,583,0.12,0.16,0.72
25057,25057,584,0.12,0.16,0.72
25058,25058,585,0.12,0.39,0.72
25059,25059,586,0.12,0.16,0.72
