source_idx,target_idx,ratio
8,40,0.0099667608152216
8,42,0.0044296714734318
8,49,0.0011074178683579
8,51,0.0011074178683579
8,53,0.0011074178683579
8,54,0.0011074178683579
8,56,0.0049833804076108
8,60,0.0011074178683579
8,64,0.0531560576811818
8,68,0.1384272335447444
8,75,0.0011074178683579
8,78,0.0044296714734318
8,79,0.0011074178683579
8,81,0.0022148357367159
8,85,0.0033222536050738
8,94,0.0099667608152216
9,1,0.0016467273379377
9,3,0.0016467273379377
9,5,0.006553148661031
9,9,0.0311190159672179
9,21,0.0016298469925778
9,25,0.0639016396177336
9,27,0.0016467273379377
9,31,0.0327151022690758
9,41,0.0032596939851556
9,54,0.0016467273379377
9,56,0.0016298469925778
9,58,0.0016467273379377
9,60,0.0016298469925778
9,61,0.0016298469925778
9,65,0.0262801160255643
9,69,0.0770248172851558
9,73,0.0016467273379377
9,79,0.0016298469925778
9,81,0.0016467273379377
9,89,0.5563148180437784
9,101,0.0021028938472531
9,105,0.0017966645231937
9,109,0.0017966645231937
9,117,0.0017966645231937
9,121,0.0038995583704469
10,1,0.001335453661176
10,2,0.001335453661176
10,4,0.001335453661176
10,5,0.030715434207048
10,10,0.0275993756643042
10,21,0.111733087014582
10,24,0.3409860962126529
10,29,0.0307154342070482
10,30,0.0195866536972481
10,34,0.003561209763136
10,36,0.0071224195262719996
10,38,0.012909385391368
10,39,0.003561209763136
10,41,0.008012721967056
10,42,0.010238478069016
10,46,0.006232117085488
10,49,0.0191415024768561
10,50,0.006232117085488
10,54,0.007567570746664
10,57,0.001335453661176
10,60,0.001780604881568
10,62,0.003116058542744
10,70,0.001335453661176
10,73,0.001780604881568
10,78,0.007122419526272
10,79,0.008012721967056
10,82,0.001335453661176
10,89,0.002670907322352
10,94,0.0111287805098
10,95,0.001780604881568
10,142,0.0010799426113033
11,1,0.0361101450416576
11,5,0.0595817393187345
11,11,0.1697196940366903
11,13,0.0020634368595232
11,14,0.001289648037202
11,15,0.0456535405169528
11,16,0.0110909731199374
11,18,0.0136702691943418
11,19,0.0033530848967253
11,22,0.0018055072520828
11,26,0.017797142913388
11,33,0.1145210081827905
11,35,0.0033530848967253
11,37,0.0239875409850408
11,39,0.0015475776446424
11,45,0.0154758639395072
11,47,0.0410110700622731
11,48,0.0157337060538651
11,50,0.0015475776446424
11,51,0.005158592148808
11,52,0.001289648037202
11,53,0.0864065059856203
11,54,0.0036110145041656
11,57,0.1483135489600354
11,58,0.0056744513636889
11,60,0.0294039752482067
11,61,0.0234715942770774
11,63,0.0110909731199376
11,66,0.0095433954752952
11,70,0.0054166092493312
11,78,0.0023213664669637
11,79,0.0018055072520828
11,80,0.0123806211571397
11,81,0.0036110145041657
11,84,0.011864761942258599
11,88,0.0025792960744041
11,90,0.0020634368595232
11,92,0.001289648037202
12,1,0.0044427036597958994
12,4,0.004303484461142
12,5,0.544010379846497
12,11,0.0026907658254396
12,12,2.65741666973269
12,13,0.0010552196418159
12,15,0.0011500862564692
12,16,0.0513000854221896
12,18,0.001548588140842
12,19,0.0242467343897996
12,22,0.8334198898142195
12,26,0.0977032501723735
12,30,0.0011500862564692
12,33,0.0021227562163104
12,36,0.0016355461836237
12,37,0.0047974961577755
12,47,0.0045603978223705
12,48,0.0030357441373746
12,51,0.1052695762665168
12,52,0.0023001725129384
12,53,0.0042683399805421
12,56,0.0031841343244657
12,57,0.00200335204348
12,58,0.1409097910894468
12,60,0.0055141679044308
12,62,0.0010323920938946
12,63,0.0129506163254643
12,66,0.0090605527247445
12,70,0.0014069595224213
12,72,0.0102845545773217
12,74,0.0056167243721113
12,79,0.0021807282448316
12,80,0.0036941719050737
12,81,0.0037310664912058
12,83,0.2067701398901467
12,84,0.0016355461836237
12,87,0.0010552196418159
12,88,0.00200335204348
12,90,0.2120977052963395
12,93,0.0059407807502979
12,106,0.0012264638670839
12,142,0.001165341173466
12,154,0.001165341173466
13,1,0.0057587757798898
13,4,0.0041452848246565
13,5,0.1364300069691089
13,11,0.0172763273396695
13,12,0.0031158551975858
13,13,0.0803447091289398
13,15,0.0685221094779025
13,16,0.0186951311855151
13,18,0.0040617244281496
13,19,0.014995214659767
13,22,0.0018917384611276
13,26,0.0210598042619245
13,33,0.0065099579010662
13,36,0.0012241167364582
13,37,0.0762828889844138
13,39,0.002169985967022
13,44,0.0018917384611276
13,46,0.0014188038458457
13,47,0.1889272807274214
13,48,0.0052022807681009
13,49,0.0023646730764095
13,50,0.0014188038458457
13,51,0.0153845888785418
13,53,0.0154681492750487
13,54,0.0018917384611276
13,57,0.0052022807681009
13,58,0.023146229832439802
13,60,0.0095146863857716
13,61,0.0052022807681009
13,62,0.0012241167364582
13,63,0.0357767714157973
13,66,0.0246210277584191
13,70,0.0102934348233214
13,74,0.0042564115375371
13,78,0.0045346590434315
13,80,0.0402554363790954
13,81,0.0028376076916914
13,84,0.0015023642423527
13,87,0.017303893656043
13,88,0.0652942661200495
13,90,0.0067882054069606
13,92,0.0054805282739954
13,157,0.001158551018695
14,1,0.0632670535874268
14,5,0.0632670535874265
14,11,0.0364270002862774
14,13,0.0038343668840864
14,14,0.0019171834420432
14,15,0.0019171834420432
14,16,0.0038343668840864
14,18,0.2396494749177725
14,19,0.0057515503261297
14,21,0.0038343668840864
14,25,0.0019171834420432
14,26,0.013420541538030399
14,27,0.0306749350726918
14,30,0.0019171834420432
14,32,0.011503100652259301
14,33,0.0690186039135565
14,37,0.0038343668840864
14,38,0.0019171834420432
14,39,0.0019171834420432
14,43,0.0057515503261297
14,45,0.0268405681886053
14,47,0.0076687337681729
14,49,0.0019171834420432
14,51,0.0038343668840864
14,52,0.0038343668840864
14,53,0.009585917210216
14,54,0.0076687337681729
14,57,0.0038343668840864
14,58,0.013420284094302501
14,60,0.0076687337681729
14,61,0.024923384746562
14,63,0.0057515503261297
14,66,0.0019171834420432
14,67,0.0019171834420432
14,70,0.0038343668840864
14,73,0.0019171834420432
14,78,0.0019171834420432
14,79,0.0019171834420432
14,84,0.0134202840943024
14,88,0.0019171834420432
14,90,0.0019171834420432
14,91,0.0019171834420432
14,92,0.0038343668840864
14,130,0.00242743691084
15,1,0.014274061990212
15,5,0.1256117455138658
15,11,0.1929037520391516
15,12,0.0032626427406199
15,13,0.0375203915171288
15,14,0.0012234910277324
15,15,0.1072593800978792
15,16,0.017536704730831798
15,18,0.0032626427406199
15,19,0.0053017944535073
15,22,0.0028548123980424
15,24,0.0020391517128874
15,26,0.0281402936378462
15,27,0.0028548123980424
15,33,0.0244698205546492
15,37,0.0289559543230016
15,45,0.0061174551386623
15,47,0.0787112561174551
15,48,0.0093800978792822
15,50,0.0020391517128874
15,51,0.012642740619901999
15,53,0.0171288743882543
15,54,0.0016313213703099
15,56,0.0012234910277324
15,57,0.0807504078303426
15,58,0.0167210440456768
15,60,0.0130505709624795
15,61,0.0085644371941272
15,63,0.0244698205546492
15,66,0.0114192495921696
15,70,0.0093800978792822
